,station,degree,size,diameter
0,Oxford Circus,2.275409836065574,305,234.3971108493115
1,Picadilly Circus,2.263157894736842,304,235.1681539771053
2,Westminster,2.2442244224422443,303,235.9442864984819
3,King's Cross St. Pancras,2.205298013245033,285,274.26564830842113
4,Stockwell,2.186046511627907,142,334.3488334580212
5,Whitechapel,2.1666666666666665,140,339.2249458338001
6,Bank,2.1337792642140467,139,355.739484822403
7,West India Quay,2.120805369127517,138,358.31730717618854
8,West Ham,2.101010101010101,132,429.7063727040455
9,Embankment,2.0878378378378377,132,429.7063727040455
10,Notting Hill Gate,2.0677966101694913,131,432.986574022397
11,Hammersmith,2.0476190476190474,130,479.5088600166846
12,Poplar,2.0341296928327646,130,479.5088600166846
13,Canary Wharf,2.0205479452054793,130,479.5088600166846
14,Wembley Park,2.0,63,509.77833873265087
